Name,GSM984510,GSM984511,GSM984512,GSM984513,GSM984514,GSM984515,GSM984516,GSM984517
FAM174B,-0.08,-0.408,-0.36,-0.308,-1.592,-1.495,-1.363,-1.415
AP3S2,0.083,-0.206,-0.165,-0.075,-0.226,-0.287,-0.249,-0.197
SV2B,0.962,0.921,0.539,0.198,-0.237,0.144,0.932,-0.389
RBPMS2,0.969,0.488,0.262,0.025,-0.095,0.12,0.029,-0.138
AVEN,0.157,0.061,0.114,-0.105,-0.025,0.057,0.051,0.084
ZSCAN29,0.059,0.246,0.05,0.06,-0.247,0.085,-0.178,-0.092
VPS39,0.496,0.083,0.14,-0.051,-0.04,0.096,0.187,0.04
CHP,0.11,0.04,-0.044,-0.04,0.281,0.251,0.0,0.346
CASC5,0.059,0.202,0.246,0.297,0.064,0.598,-0.19,-0.079
ATMIN,-0.225,-0.722,-0.874,-0.845,-1.393,-1.604,-0.856,-1.349
UNKL,0.371,0.168,0.36,0.44,0.462,0.642,0.999,0.376
TMEM127,-0.114,-0.445,-0.59,-0.484,-1.351,-1.493,-1.162,-1.31
MMP15,-0.37,-0.51,-0.012,0.123,-0.626,-0.543,0.102,-0.752
PRM1,0.0,-0.23,-0.346,0.022,0.0,0.057,-0.391,0.055
USP10,0.675,0.231,0.114,0.184,0.508,0.546,0.457,0.499
HSBP1,-0.113,0.072,0.158,-0.154,0.011,0.209,-0.108,0.091
ESRP2,-0.828,-0.477,-0.501,-0.379,-0.994,-1.006,-0.897,-0.47
CDH16,0.669,0.406,0.064,-0.467,0.619,0.359,0.445,0.053
NELL2,-0.543,-0.207,0.0,-0.804,0.0,-0.093,0.459,-0.387
CMIP,-0.368,-0.162,-0.16,0.111,-0.293,-0.378,0.154,-0.085
GRIN2A,0.0,0.0,0.371,0.0,0.0,0.0,0.0,0.0
ZNF598,-0.341,-0.145,-0.181,-0.226,-0.217,-0.302,-0.093,-0.217
DECR2,0.107,0.043,0.0,-0.04,-0.177,-0.077,-0.159,-0.229
NPRL3,-0.706,-0.776,-0.692,-0.603,-0.824,-0.699,-0.64,-0.696
ORC6,-0.158,0.119,0.014,-0.064,-0.11,-0.019,-0.13,-0.028
ORC6,-0.609,-0.371,-0.293,-0.378,-0.324,-0.325,-0.316,-0.166
PPP4C,0.584,0.062,-0.024,0.199,0.156,0.174,0.485,0.229
IL34,-0.403,0.017,0.024,0.102,0.741,0.063,-0.293,0.0
TCEB2,0.058,-0.034,-0.016,-0.069,0.243,0.317,0.403,0.394
NTN3,0.27,0.178,0.159,-0.203,0.351,0.383,0.421,0.439
EXOSC6,-0.141,-0.394,-0.378,-0.094,-0.16,-0.257,-0.402,-0.094
ZCCHC14,-0.321,-0.457,-0.352,-0.547,0.18,0.228,0.273,0.252
FAM192A,-0.451,-0.137,-0.178,-0.088,-0.516,-0.491,-0.733,-0.571
MTHFSD,0.112,0.006,-0.131,-0.167,-1.353,-1.244,-1.328,-1.37
TXNL4B,-0.294,0.027,0.026,-0.163,-0.323,-0.204,-0.282,-0.156
KAT8,0.836,0.601,0.601,0.431,0.748,0.866,0.907,0.848
VKORC1,-0.178,-0.431,-0.353,-0.199,-0.297,-0.506,-0.295,-0.243
ROGDI,-0.129,-0.569,-0.315,-0.292,-0.269,-0.277,-0.288,-0.279
HMOX2,-0.059,-0.356,-0.399,-0.374,-0.967,-1.008,-0.849,-0.796
TMEM170A,-0.303,-0.036,-0.11,0.018,0.75,0.793,0.621,0.791
A_23_P100522,-0.347,-0.043,-0.119,0.051,-0.023,0.093,-0.188,-0.271
ABCC6,-0.183,0.156,0.133,0.279,0.072,0.268,0.185,0.206
EXOC7,0.65,0.336,0.204,0.218,0.093,-0.081,0.003,-0.023
PSMB3,-0.042,0.057,0.091,0.097,-0.12,0.058,0.046,0.043
LPO,0.096,-0.172,0.176,0.247,0.879,0.888,0.492,0.058
A_23_P100595,-0.393,-0.439,0.032,-0.361,0.0,-0.084,-0.243,-0.42
A_23_P10060,-0.044,0.649,0.015,0.017,-0.128,-0.215,-0.319,-0.065
TBCD,0.252,0.098,0.094,0.277,0.201,0.041,0.353,0.148
MGAT4C,0.089,-0.518,-0.342,0.0,0.066,0.341,-0.591,0.0
HN1,-0.146,-0.216,-0.16,0.002,-0.694,-0.608,-0.515,-0.644
PNMT,-0.182,0.453,-0.197,-0.255,0.0,0.057,-0.355,0.039
ZBTB4,-0.179,-0.171,-0.269,-0.053,-1.069,-1.289,-0.938,-1.151
SERPINF1,-0.258,-0.541,-0.317,-0.031,0.387,0.401,0.02,0.082
SMG6,-0.342,-0.525,-0.387,-0.398,-0.694,-0.699,-0.423,-0.439
HELZ,0.387,0.179,0.018,0.151,0.039,0.117,0.243,0.103
MAPK7,0.137,-0.066,-0.278,-0.122,-0.198,-0.268,-0.168,-0.245
PMP22,-0.055,-0.374,-0.295,-0.401,-0.631,-0.55,-0.768,-0.666
SKAP1,-0.55,-0.046,0.107,0.033,0.07,0.012,0.055,0.212
SMURF2,1.305,0.706,0.639,0.765,0.051,-0.078,0.356,0.109
SLC25A39,0.17,-0.164,-0.106,-0.039,-0.135,-0.382,-0.13,-0.091
PNPLA2,0.164,0.035,0.07,0.25,0.385,-0.015,0.24,0.276
UBTF,-0.145,-0.222,-0.078,0.075,-0.476,-0.473,-0.364,-0.54
STAT5B,0.569,0.009,-0.101,0.151,0.563,0.399,0.533,0.64
STAT3,0.407,-0.188,-0.157,0.029,0.138,0.047,0.536,0.416
CCDC56,-0.635,-0.321,-0.372,-0.098,-1.138,-1.194,-1.194,-1.155
ARL13B,0.523,0.424,0.35,0.07,1.21,1.316,1.128,1.319
