Name,GSM984510,GSM984511,GSM984512,GSM984513,GSM984514,GSM984515,GSM984516,GSM984517
FAM174B,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0
AP3S2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SV2B,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0
RBPMS2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AVEN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ZSCAN29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
VPS39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CASC5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ATMIN,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
UNKL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TMEM127,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
MMP15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRM1,,-0.23,-0.346,0.022,,0.057,-0.391,0.055
USP10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HSBP1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ESRP2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CDH16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NELL2,-0.543,-0.207,,-0.804,,-0.093,0.459,-0.387
CMIP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GRIN2A,,,0.371,,,,,
ZNF598,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DECR2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NPRL3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ORC6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ORC6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PPP4C,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IL34,-0.403,0.017,0.024,0.102,0.741,0.063,-0.293,
TCEB2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NTN3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EXOSC6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ZCCHC14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FAM192A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MTHFSD,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
TXNL4B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KAT8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
VKORC1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ROGDI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HMOX2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TMEM170A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
